developer,success,total_reviews,average_playtime,review_score,num_games
N3V Games,208.42857142857142,337.7142857142857,17.285714285714285,0.556862143639459,7
Frogames,200.8,233.2,107.4,0.738827603549233,5
"MicroProse Software, Inc",199.10526315789474,228.3684210526316,122.52631578947368,0.7119248635475025,19
Pixeljam,194.875,228.25,79.875,0.8694539581940701,8
FreezeNova,191.0,276.125,56.5625,0.6864887077169539,16
Satur Entertainment,188.0,225.66666666666666,0.0,0.7564910350208529,6
BattleGoat Studios,179.8,249.0,80.0,0.7129953587527487,5
Crystal Shard,179.8,206.6,4249.4,0.7065686274509804,5
Pirotexnik,178.2,196.0,6.4,0.9212156828094521,5
Antonio Renna,171.8,304.2,33.2,0.5169406846131006,5
HeroCraft,171.4,261.4,28.6,0.6158970246338462,5
Rage Software,167.66666666666666,256.0,110.16666666666667,0.654590518699305,6
Black Lime Studio,166.42857142857142,291.0,188.14285714285714,0.5663226650666701,7
Wales Interactive,164.14285714285714,231.14285714285714,113.0,0.7573489457362793,7
Grey Alien Games,160.8,179.0,55.0,0.8705051433325769,5
Cobra Mobile,158.85714285714286,223.0,27.857142857142858,0.7341199484854053,7
XGen Studios,155.2,202.6,306.0,0.7131823240439238,5
ebi-hime,154.07142857142858,175.35714285714286,66.21428571428571,0.887682036944132,14
Longbow Games,149.8,201.0,1.0,0.8061744012004338,5
Rail Slave Games,148.83333333333334,666.0,186.5,0.47641134292371773,6
Phr00t's Software,147.88888888888889,205.66666666666666,72.33333333333333,0.765397562623785,9
Yai Gameworks,147.57142857142858,173.42857142857142,1.2857142857142858,0.8350600805094068,7
Crenetic GmbH Studios,147.0,250.4,104.6,0.7494962816878262,5
ZOV GAME STUDIO,146.42857142857142,201.85714285714286,74.71428571428571,0.6567560393162892,7
exosyphen studios,146.28571428571428,261.57142857142856,68.14285714285714,0.5286082775735045,7
Amaterasu Software,145.36363636363637,257.6363636363636,268.45454545454544,0.5198411267011189,11
Shorebound Studios,144.0,181.16666666666666,23.333333333333332,0.7743092130331131,6
Excalibur,142.8,315.6,110.8,0.4602584782999405,5
一次元创作组,142.6,151.8,0.0,0.9048480892374071,5
Kazakov Oleg,139.5,204.66666666666666,146.5,0.7151844169752551,6
"CFK Co., Ltd.",136.42857142857142,175.28571428571428,0.0,0.6008465836344368,7
CUTE ANIME GIRLS,135.42857142857142,187.57142857142858,19.142857142857142,0.6682408204328946,7
ZeroBit Games,134.4,198.2,264.2,0.7379781796604227,5
Freshtrax,134.3,325.3,112.8,0.43915087490997884,10
Frontwing,133.66666666666666,146.23809523809524,398.95238095238096,0.9238208235225194,21
SC Jogos,133.4,210.6,153.8,0.6250689891109682,5
"CINEMAX, s.r.o.",131.77777777777777,187.0,11.444444444444445,0.7259711924259086,9
Spiderweb Software,131.26666666666668,147.73333333333332,1.1333333333333333,0.8845954252726518,15
