appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,total_reviews,review_score,success,log_success,log_reviews,log_playtime
1036960,阿津,2019-03-30,0,阿津,歐津津教團,windows,0,Single-player,Adventure;Free to Play;RPG,Free to Play;Adventure;RPG,0,46,0,0,0,0-20000,0.0,46,1.0,46.0,3.8501476017100575,3.8501476017100575,0.0
1040430,Adventure Climb VR,2019-04-16,1,MXTreality,MXTreality,windows,0,Single-player;Steam Achievements,Action;Adventure;Casual;Free to Play;Racing;Simulation;Sports,Free to Play;Action;Casual,18,18,5,0,0,0-20000,0.0,23,0.782608695652174,18.0,2.9444389791664403,3.1780538303479458,0.0
1040490,Prologue for a Vacant Kingdom,2019-04-18,1,shru,shru,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure;Free to Play;Indie;RPG,Action;Free to Play;Indie,4,38,0,0,0,0-20000,0.0,38,1.0,38.0,3.6635616461296463,3.6635616461296463,0.0
1040890,Slime Simulator Games,2019-04-01,1,Solid Apps Inc,Solid Apps Inc,windows;mac,0,Single-player,Casual;Indie;Simulation,Indie;Casual;Simulation,0,2,1,0,0,0-20000,0.0,3,0.6666666666666666,2.0,1.0986122886681098,1.3862943611198906,0.0
1041060,Future Futures - Command Z,2019-03-29,1,Command Z,Ziga Studio,windows,0,Single-player,Action;Adventure;Casual;Free to Play;Indie;Simulation;Strategy,Action;Free to Play;Casual,0,2,0,0,0,0-20000,0.0,2,1.0,2.0,1.0986122886681098,1.0986122886681098,0.0
1042230,Zeta Complex,2019-04-15,1,spidamoo games,spidamoo games,windows,0,Single-player,Action;Indie;Early Access,Early Access;Action;Indie,0,7,0,0,0,0-20000,0.0,7,1.0,7.0,2.079441541679836,2.079441541679836,0.0
1042460,Newt's Voyage,2019-03-15,1,Gear Learning,Gear Learning,windows;mac,0,Single-player,Action;Casual;Simulation,Action;Casual;Simulation,0,8,1,0,0,0-20000,0.0,9,0.8888888888888888,8.0,2.19722457733622,2.302585092994046,0.0
1042570,Human Rights,2019-04-04,1,Monster Mansion,Monster Mansion,windows;mac,0,Single-player,Indie,Indie,0,8,0,0,0,0-20000,0.0,8,1.0,8.0,2.19722457733622,2.19722457733622,0.0
1043180,Lovers of Aether,2019-04-01,1,Dan Fornace,Dan Fornace,windows;mac,0,Single-player;Steam Cloud,Casual;Indie;Simulation,Psychological Horror;Dating Sim;Casual,15,651,29,12,12,50000-100000,0.0,680,0.9573529411764706,651.0,6.480044561926653,6.523562306149512,2.5649493574615367
1044200,Wasteland Survival,2019-03-31,1,"Joyloft Co., Limited","Joyloft Co., Limited",windows;mac,0,Single-player;In-App Purchases,Action;Adventure;Free to Play;RPG;Simulation;Early Access,Early Access;Free to Play;Survival,0,277,265,0,0,50000-100000,0.0,542,0.511070110701107,277.0,5.627621113690637,6.297109319933935,0.0
